season,match_id,match_name,home_team,away_team,venue,city,country,current_innings,innings_id,name,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,captain,isNotOut,runningScore,runningOver,shortText,commentary,link
2022.0,1304069,MI v PBKS,MI,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,MI,2,NT Tilak Varma,Tilak Varma,36,20,46,3,2,180.00,False,False,"{'wickets': 4, 'runs': 131}",12.5,run out (Agarwal/Arshdeep Singh),"<strong>horrible mixup results in a dreadful runout! </strong>Full on the stumps, flicked into midwicket. It was well wide of the fielder and Tilak sets off. Looked like an easy single on there but SKY is ball-watching at the striker's end. The fielder has plenty of time to throw to Arshdeep with Tilak stranded having completed 3/4 of a run. The bails come off with him 10 yards short. Tilak is spewing plenty of unrepeatable as he walks off.",
2022.0,1304069,MI v PBKS,MI,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,MI,2,SA Yadav,Suryakumar Yadav,43,30,44,1,4,143.33,False,False,"{'wickets': 6, 'runs': 177}",18.4,c Smith b Rabada,"<strong>knee high full toss on middle stump, could've easily disappeared over long-on for six but flubs the heave trying to clear long-on!</strong> It goes straight up in the air to Odean Smith 10 yards inside the rope for a straightforward catch at chest height. Smith slams the ball down in a raucous celebration!",
2022.0,1304069,MI v PBKS,MI,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,MI,2,KA Pollard,Kieron Pollard,10,11,18,1,0,90.90,False,False,"{'wickets': 5, 'runs': 152}",16.1,run out (Smith/&dagger;Sharma),"<strong>Pollard runs himself out trying to steal a second off a misfield!</strong> Full on sixth stump, Pollard drives to long-on and slow jogs the first run. Odean Smith fumbles and SKY suddenly calls for two. There's hesitation from both of them, Pollard puts his hands up to signal he doesn't want to run but then sets off late. SKY stops midway then keeps going. A huge mess. The relay from Smith to the keeper is in time as the bails come off with Pollard two yards short. <b>If Pollard ran the first run hard, there was definitely two there, but he got himself into trouble by slow jogging/walking the first run.</b>",
2022.0,1304069,MI v PBKS,MI,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,MI,2,JD Unadkat,Jaydev Unadkat,12,7,23,0,1,171.42,False,False,"{'wickets': 7, 'runs': 185}",19.3,c Agarwal b Smith,"another fullish length ball angled across sixth stump, Unadkat goes for a huge heave back over long-on but skies this over extra cover. Mayank backpedals from extra cover on the ring and takes a safe catch at rib height 10 yards from the edge of the circle.",
2022.0,1304069,MI v PBKS,MI,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,MI,2,M Ashwin,Murugan Ashwin,0,2,11,0,0,0.00,False,True,{},,not out,,
2022.0,1304069,MI v PBKS,MI,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,MI,2,JJ Bumrah,Jasprit Bumrah,0,1,2,0,0,0.00,False,False,"{'wickets': 8, 'runs': 186}",19.4,c Dhawan b Smith,"length ball on fourth stump, slices this high over short third man. Dhawan runs from backward point to circle around and complete another catch before doing his customary thigh slap celebration.",
2022.0,1304069,MI v PBKS,MI,PBKS,"Maharashtra Cricket Association Stadium, Pune",Pune,India,MI,2,TS Mills,Tymal Mills,0,2,3,0,0,0.00,False,False,"{'wickets': 9, 'runs': 186}",19.6,c Agarwal b Smith,"<strong>triple-wicket over for Odean Smith to end the match! </strong> Length ball on fourth stump, another top-edged slice finds Mayank in the ring at extra cover for another chest high catch. <b>PBKS win by 12 runs. </b>",
2022.0,1304068,CSK v RCB,CSK,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,CSK,1,RD Gaikwad,Ruturaj Gaikwad,17,16,19,3,0,106.25,False,False,"{'wickets': 1, 'runs': 19}",3.4,lbw b Hazlewood,Gaikwad is ruled out lbw. Height the factor? He asks for the review. He didn't connect the attempted heave off a length ball and got hit on the back thigh. Surely high? <b>No! Clipping the stumps!</b> One of those things that goes against you when you are not it form. Looked good but has to walk back. CSK don't lose a review even though they lose a wicket.,
2022.0,1304068,CSK v RCB,CSK,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,CSK,1,RV Uthappa,Robin Uthappa,88,50,98,4,9,176.00,False,False,"{'wickets': 3, 'runs': 201}",18.5,c Kohli b de Silva,"Finally a wicket for RCB and Hasaranga! <strong>Breaks the 165-run stand</strong>. The non-celebration from the Royall Challengers says it all. Was a googly on the shorter side, Uthappa picks Kohli at deep midwicket to perfection to walk back with 88 against his name.",
2022.0,1304068,CSK v RCB,CSK,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,CSK,1,MM Ali,Moeen Ali,3,8,16,0,0,37.50,False,False,"{'wickets': 2, 'runs': 36}",6.4,run out (Prabhudessai/&dagger;Karthik),"<strong>Sensational fielding display. Suyash Prabhudessai making an impression early in the game.</strong> Flatter and quicker outside off, cut towards backward point. Seemed to be passing the fielder but for a diving stop. Moeen was down in search of a run and stood no chance of getting back after an accurate throw to the wicketkeeper.",
2022.0,1304068,CSK v RCB,CSK,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,CSK,1,S Dube,Shivam Dube,95,46,73,5,8,206.52,False,True,{},,not out,,
2022.0,1304068,CSK v RCB,CSK,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,CSK,1,RA Jadeja,Ravindra Jadeja,0,1,2,0,0,0.00,True,False,"{'wickets': 4, 'runs': 201}",18.6,c Anuj Rawat b de Silva,"Just a one-ball stay for the skipper. <strong>Hasaranga has two-in-two</strong> but that's it from him tonight. Tossed up googly around middle, Jadeja goes for the slog. Gets it high in the air. Rawat at deep midwicket settles underneath it and takes it safely. Something to cheer for RCB.",
2022.0,1304068,CSK v RCB,CSK,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,CSK,1,MS Dhoni,MS Dhoni,0,0,8,0,0,-,False,True,{},,not out,,
2022.0,1304068,CSK v RCB,CSK,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,RCB,2,F du Plessis,Faf du Plessis,8,9,13,0,0,88.88,True,False,"{'wickets': 1, 'runs': 14}",2.5,c Jordan b Theekshana,swung away but can't clear long-on. Faf had a grimace as he made contact. <b> First wicket in the IPL for Theekshana and it's a massive one. </b> Faf can't make a big one against his former team.,
2022.0,1304068,CSK v RCB,CSK,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,RCB,2,Anuj Rawat,Anuj Rawat,12,16,28,1,0,75.00,False,False,"{'wickets': 3, 'runs': 42}",5.6,lbw b Theekshana,"got him with a super delivery! Theekshana takes off on a celebratory run that would make Imran Tahir proud. Rawat has reviewed. This one cuts back in sharply to beat Rawat, who tries to whip that across the line. He's hit on the back pad and the ball didn't have a long way to travel. he got into a terrible tangle there and ball tracking comes back to show three reds.",
2022.0,1304068,CSK v RCB,CSK,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,RCB,2,V Kohli,Virat Kohli,1,3,7,0,0,33.33,False,False,"{'wickets': 2, 'runs': 20}",4.1,c Dube b Mukesh Choudhary,"<b> he has picked out deep square! </b> Dube takes a good catch running in grom the ropes. Mukesh bowls length, gets it to nip back into middle, Kohli whips it uppishly - the timing is good - but it's as if he forgot there was a man in the deep precisely for that.",
2022.0,1304068,CSK v RCB,CSK,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,RCB,2,GJ Maxwell,Glenn Maxwell,26,11,15,2,2,236.36,False,False,"{'wickets': 4, 'runs': 50}",6.5, b Jadeja,got him! Maxwell is beaten by the fizz on this arm ball. Swung through a tad early and missed. The length wasn't quite there to pull. This one rushed onto him as well. RCB in tatters.,
2022.0,1304068,CSK v RCB,CSK,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,RCB,2,Shahbaz Ahmed,Shahbaz Ahmed,41,27,47,4,0,151.85,False,False,"{'wickets': 6, 'runs': 133}",14.3, b Theekshana,got him this time! Don't need anyone's assistance to pick wickets if you can bowl magicballs like that. It's the carromball that fizzes back in off a length to hurrty Shahbaz into a defensive stroke. Sneaked through the gap to smash into the stumps,
2022.0,1304068,CSK v RCB,CSK,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,RCB,2,SS Prabhudessai,Suyash Prabhudessai,34,18,29,5,1,188.88,False,False,"{'wickets': 5, 'runs': 110}",12.2, b Theekshana,"got him! Suyash steps out to hoick him over midwicket but ends up being defeated by the drift and sharp turn away. He swung through a tad early as well, so even if the ball didn't hit the stumps, he would've been stumped. <strong>Good knock, terrific intent and we've seen glimpses of something special</strong>",
2022.0,1304068,CSK v RCB,CSK,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,RCB,2,KD Karthik,Dinesh Karthik,34,14,38,2,3,242.85,False,False,"{'wickets': 9, 'runs': 171}",17.2,c Jadeja b Bravo,"that's the end of that, surely. DK has an absolute mow at this length ball. connected it really well. but he was hitting towards the bigger boundary. And unfortunately also found Ravindra Jadeja at deep midwicket. He was no more than two or three inches from the ropes. He belts out a roar, as does DJ Bravo. What a knock. Under pressure, must say that is a terrific grab from Jadeja. Both feet were off the ground for a split second as the ball lodghed in his fingers. He controlled it superbly.",
2022.0,1304068,CSK v RCB,CSK,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,RCB,2,PWH de Silva,Wanindu Hasaranga de Silva,7,3,5,0,1,233.33,False,False,"{'wickets': 7, 'runs': 146}",15.2,c Jordan b Jadeja,"this time, he picks out long-on. Backed away to swing, but no timing this time.",
2022.0,1304068,CSK v RCB,CSK,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,RCB,2,Akash Deep,Akash Deep,0,2,2,0,0,0.00,False,False,"{'wickets': 8, 'runs': 146}",15.4,c Rayudu b Jadeja,"<strong>What a catch! Rayudu, you beauty</strong>. One-handed stunner from nowehre. Akash jabs at the ball, gets it high on the bat as it lobs in the air. Rayudu mvoed to his right and threw himself at the ball as it stuck",
2022.0,1304068,CSK v RCB,CSK,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,RCB,2,Mohammed Siraj,Mohammed Siraj,14,11,26,3,0,127.27,False,True,{},,not out,,
2022.0,1304068,CSK v RCB,CSK,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,RCB,2,JR Hazlewood,Josh Hazlewood,7,7,12,0,0,100.00,False,True,{},,not out,,
2022.0,1304067,SRH v GT,SRH,GT,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,GT,1,MS Wade,Matthew Wade,19,19,40,3,0,100.00,False,False,"{'wickets': 3, 'runs': 64}",7.6,lbw b Umran Malik,"<B>an entertaining over</b> comes to a close with a wicket from around the stumps! Malik opts to change the angle for his first ball to Wade in the over, and goes full on off stump. The bowler's angle brings the ball into middle stump, and Wade misses the flick. Hits the front leg, umpire says out, and Wade doesn't bother reviewing that",
2022.0,1304067,SRH v GT,SRH,GT,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,GT,1,Shubman Gill,Shubman Gill,7,9,14,1,0,77.77,False,False,"{'wickets': 1, 'runs': 24}",2.2,c Tripathi b Kumar,"<B>Oh that's stunning</b> A flying catch at cover sends Gill back for 7. Bhuvi bowled it in a slot outside off. Gill met it for a drive under his eye, but Tripathi at cover dived to his left, stuck the arm out, and ends up taking a beauty",
2022.0,1304067,SRH v GT,SRH,GT,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,GT,1,B Sai Sudharsan,Sai Sudharsan,11,9,16,2,0,122.22,False,False,"{'wickets': 2, 'runs': 47}",5.4,c Williamson b Natarajan,"<B>Natarajan wins the battle of the Tamil Nadu players</b> as the ball grips, slows on Sudharsan as he tries to play a drive off a length ball. Hits the top half of the bat, pops up in the air, and goes to Williamson at mid off in slow motion",
2022.0,1304067,SRH v GT,SRH,GT,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,GT,1,HH Pandya,Hardik Pandya,50,42,73,4,1,119.04,True,True,{},,not out,,
2022.0,1304067,SRH v GT,SRH,GT,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,GT,1,DA Miller,David Miller,12,15,28,0,0,80.00,False,False,"{'wickets': 4, 'runs': 104}",13.3,c Abhishek Sharma b Jansen,"<B>MJ wins the SA vs SA battle</b> as Miller pays the price for being cramped. Jansen dug it short as Miller came down the track to show some aggression. The pull is mistimed, and midwicket moves to his left to take the catch",
2022.0,1304067,SRH v GT,SRH,GT,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,GT,1,A Manohar,Abhinav Manohar,35,21,29,5,1,166.66,False,False,"{'wickets': 5, 'runs': 154}",18.5,c Tripathi b Kumar,"<B>Tripathi runs around from long off to the sightscreen and dives to take a catch</b>. Manohar's whirlwind innings ends. Another slower ball, fullish outside off. Manohar is through the shot too early, loses the grip off one hand, and the ball is sliced way up in the air. Applause from the dug out for Manohar",
2022.0,1304067,SRH v GT,SRH,GT,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,GT,1,R Tewatia,Rahul Tewatia,6,4,7,1,0,150.00,False,False,"{'wickets': 6, 'runs': 161}",19.4,run out (&dagger;Pooran/Natarajan),"back of a length on off and middle. Tewatia backs away to clobber a shot square, but misses. Hardik runs across for a bye, Tewatia is slow off the blocks. Pooran throws to Natarajan, and the bowler runs to the wicket and breaks the stumps with an under-hand",
2022.0,1304067,SRH v GT,SRH,GT,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,GT,1,Rashid Khan,Rashid Khan,0,1,2,0,0,0.00,False,False,"{'wickets': 7, 'runs': 162}",19.6, b Natarajan,"<B>bowled around his legs!</b> Yorker around leg stump. Rashid tried to flick it off his pads. Misses, and the leg stump is broken. <B>Gujarat Titans finish on 162 for 7</b>",
2022.0,1304067,SRH v GT,SRH,GT,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,SRH,2,Abhishek Sharma,Abhishek Sharma,42,32,44,6,0,131.25,False,False,"{'wickets': 1, 'runs': 64}",8.5,c Sai Sudharsan b Rashid Khan,"short ball on the body, rocks back to try to heave this over midwicket but the ball hustles onto him and cramps him for room. Winds up picking out Sudharsan at deep midwicket 10 yards inside the rope, who takes a knee high catch tumbling forward.",
2022.0,1304067,SRH v GT,SRH,GT,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,SRH,2,KS Williamson,Kane Williamson,57,46,86,2,4,123.91,True,False,"{'wickets': 2, 'runs': 129}",16.1,c Tewatia b Pandya,"offcutter slower ball full on seventh stump at 122 kph, Williamson tries to drag this with a slog targeting the leg side but instead skies this to long-on. Easy catch taken 20 yards in from the rope by Tewatia casually at chest height.",
2022.0,1304067,SRH v GT,SRH,GT,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,SRH,2,RA Tripathi,Rahul Tripathi,17,11,27,1,1,154.54,False,False,"{'wickets': 1, 'runs': 104}",13.1,retired hurt,and now Tripathi rubs salt into the wound from the delivery to end the last over. Flighted full on fifth stump and launches a drive high over wide long-off. <b>Tripathi was needing treatment on his calf earlier and stumbles backward again after that shot. The physio is back out. </b>,
2022.0,1304067,SRH v GT,SRH,GT,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,SRH,2,N Pooran,Nicholas Pooran,34,18,33,2,2,188.88,False,True,{},,not out,,
2022.0,1304067,SRH v GT,SRH,GT,"Dr DY Patil Sports Academy, Mumbai",Mumbai,India,SRH,2,AK Markram,Aiden Markram,12,8,17,1,0,150.00,False,True,{},,not out,,
2022.0,1304066,RR v LSG,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,India,RR,1,JC Buttler,Jos Buttler,13,11,30,1,1,118.18,False,False,"{'wickets': 1, 'runs': 42}",5.1, b Avesh Khan,"<B>what a start to your spell!</b> Buttler's stumps rattled, and Avesh has struck. Full around off stump, angling in to the stumps as Buttler tries to welcome him with a sloggy swipe to long on. Misses the connection, and Avesh hits bulls eye",
2022.0,1304066,RR v LSG,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,India,RR,1,D Padikkal,Devdutt Padikkal,29,29,51,4,0,100.00,False,False,"{'wickets': 3, 'runs': 64}",9.1,c Holder b Gowtham,"around the stumps. Full on off. Padikkal goes for a reverse sweep, but he's top edged it only for first slip to eat him up! Padikkal tried to hit it over conventional short third man, but was through the shot too early. Gowtham starts with a bang",
2022.0,1304066,RR v LSG,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,India,RR,1,SV Samson,Sanju Samson,13,12,17,2,0,108.33,True,False,"{'wickets': 2, 'runs': 60}",8.3,lbw b Holder,"<B>is he lbw on a full toss? Yes!</b> Slides this full toss into the stumps, and Samson misses the flick from near his knee roll. Hits him, and the umpire has an easy decision to make. <B>Samson does not review</b>",
2022.0,1304066,RR v LSG,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,India,RR,1,HE van der Dussen,Rassie van der Dussen,4,4,9,1,0,100.00,False,False,"{'wickets': 4, 'runs': 67}",9.5, b Gowtham,"<B>bowled 'im!</b> And Rassie is out after a boundary. Gowtham continues around the stumps. Gets this full ball on middle to go straight through. Rassie misses the cut, the ball goes past the blade, and off stump is broken.",
2022.0,1304066,RR v LSG,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,India,RR,1,SO Hetmyer,Shimron Hetmyer,59,36,55,1,6,163.88,False,True,{},,not out,,
2022.0,1304066,RR v LSG,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,India,RR,1,R Ashwin,Ravichandran Ashwin,28,23,40,0,2,121.73,False,False,"{'wickets': 5, 'runs': 135}",18.2,retired out,"full and wide of off, as he drags that to deep point",
2022.0,1304066,RR v LSG,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,India,RR,1,R Parag,Riyan Parag,8,4,10,0,1,200.00,False,False,"{'wickets': 6, 'runs': 163}",19.5,c Gowtham b Holder,"<strong>is that a clean catch by Gowtham at fine leg? Yup, looks like.</strong> But the umpire will check even as Parag is ready to walk back. A slower-ball bouncer from Holder on off, and he gets extra bounce. Gowtham has to go low, but takes it well in the end",
2022.0,1304066,RR v LSG,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,India,RR,1,TA Boult,Trent Boult,2,1,1,0,0,200.00,False,True,{},,not out,,
2022.0,1304066,RR v LSG,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,India,LSG,2,KL Rahul,KL Rahul,0,1,1,0,0,0.00,True,False,"{'wickets': 1, 'runs': 0}",0.1, b Boult,"<B>peach of a ball!</b> Comes around the stumps, bowls full, ball originates outside off but swings in with the angle. Rahul can't get any bat on it with the late swing, and Boult's angle has worked against Rahul! Through the gap between bat and pad as Rahul tried to mow it through the leg side",
2022.0,1304066,RR v LSG,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,India,LSG,2,Q de Kock,Quinton de Kock,39,32,80,2,1,121.87,False,False,"{'wickets': 6, 'runs': 101}",15.3,c Parag b Chahal,"<strong>grabbed at long-on! de Kock had to go after Chahal, but he falls.</strong> Is it all over for Super Giants? Short of a length and wide of off, as he pulled across the line only to find Parag on the fence. Chahal helps himself to a quiet celebration",
2022.0,1304066,RR v LSG,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,India,LSG,2,K Gowtham,Krishnappa Gowtham,0,1,3,0,0,0.00,False,False,"{'wickets': 2, 'runs': 1}",0.2,lbw b Boult,"<B>two wickets in three balls!</b> The new-ball master is at it. The Gowtham experiment has not worked, Boult too good for him with the new cherry. Boult comes over the stumps. Full on middle, and angling into leg stump. Gowtham can't get bat on ball.",
2022.0,1304066,RR v LSG,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,India,LSG,2,JO Holder,Jason Holder,8,14,17,2,0,57.14,False,False,"{'wickets': 3, 'runs': 14}",3.3,c Ashwin b Prasidh Krishna,"<B>in the air</b> and mid on - Ashwin - pockets that with ease. Prasidh bowls short of a length, Holder looks to be in position to pull, but the bat's face is looking up, and has sliced the shot in the air. A fist pump from Prasidh as Super Giants go 14 for 3",
2022.0,1304066,RR v LSG,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,India,LSG,2,DJ Hooda,Deepak Hooda,25,24,28,3,0,104.16,False,False,"{'wickets': 4, 'runs': 52}",9.1, b Sen,"<strong>crashed into the stumps!</strong> Sen has his first IPL wicket. The middle and leg stumps are shaken. On a good length on middle, as Hooda swings across the line and misses. Hooda was standing on leg stump there, with his front leg out of the way. Clean bowled",
2022.0,1304066,RR v LSG,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,India,LSG,2,A Badoni,Ayush Badoni,5,7,16,0,0,71.42,False,False,"{'wickets': 5, 'runs': 74}",11.6,c Parag b Chahal,"<strong>straight to long-off!</strong> Skips down the pitch early - and he had to get bat on ball once he had danced down - as Chahal went full and outside off. Badoni looks to loft, but finds the fielder bang where he was placed on the boundary",
2022.0,1304066,RR v LSG,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,India,LSG,2,KH Pandya,Krunal Pandya,22,15,24,2,0,146.66,False,False,"{'wickets': 7, 'runs': 102}",15.5, b Chahal,"<strong>bowled him around his legs!</strong> Pandya was across his stumps really early, and missed his attempted sweep there. Tossed up - and looked like the wrong 'un too - on a fullish length on middle and off. Pandya ended up down on his knees way outside off, and the ball crashed into the stumps as he missed",
2022.0,1304066,RR v LSG,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,India,LSG,2,MP Stoinis,Marcus Stoinis,38,17,35,2,4,223.52,False,True,{},,not out,,
2022.0,1304066,RR v LSG,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,India,LSG,2,PVD Chameera,Dushmantha Chameera,13,7,15,2,0,185.71,False,False,"{'wickets': 8, 'runs': 126}",17.5,lbw b Chahal,"animated appeal for leg before, but turned down. And <strong>Samson reviews</strong>. A yorker length ball on middle and leg, after being tossed up. He had his front leg out of the way, and missed the ball while trying to jam. There is no inside edge there as well. And replays show that would hit the base of middle stump",
2022.0,1304066,RR v LSG,RR,LSG,"Wankhede Stadium, Mumbai",Mumbai,India,LSG,2,Avesh Khan,Avesh Khan,7,2,19,0,1,350.00,False,True,{},,not out,,
2022.0,1304065,KKR v DC,KKR,DC,"Brabourne Stadium, Mumbai",Mumbai,India,DC,1,PP Shaw,Prithvi Shaw,51,29,44,7,2,175.86,False,False,"{'wickets': 1, 'runs': 93}",8.4, b Varun,"<strong>Bamboozled!</strong> Chakravarthy has the last laugh as the Shaw show at Brabourne ends. Tossed up around off, Shaw played for the one going away but this one came back in. Bowled him through the gate. End of the 93-run opening partnership for the Capitals.",
2022.0,1304065,KKR v DC,KKR,DC,"Brabourne Stadium, Mumbai",Mumbai,India,DC,1,DA Warner,David Warner,61,45,90,6,2,135.55,False,False,"{'wickets': 5, 'runs': 166}",16.4,c Rahane b Yadav,"<strong>nabbed at deep midwicket!</strong> Warner's party ends. On a scrambled seam on a back of a length on middle and off, as Warner makes room early. He goes for the swish to the on side, but finds Rahane lurking on the boundary, who is content to only give a thumbs-up after taking the catch. Capitals losing their way in the death overs",
2022.0,1304065,KKR v DC,KKR,DC,"Brabourne Stadium, Mumbai",Mumbai,India,DC,1,RR Pant,Rishabh Pant,27,14,24,2,2,192.85,True,False,"{'wickets': 2, 'runs': 148}",12.5,c Yadav b Russell,"<strong>swats at that, but finds third man!</strong> Pant falls while trying to keep going after the bowling. That was short and outside off, and seemed to have bounced more than what the batter would have liked. Pant had to get on top of the bounce to try and rap that, and ended up sending to the third man fielder",
